date,lai_raw,factor,lai,model_used,std
2024-01-01,0.3543147208121827,7.208237547892722,2.553984674329502,temporal_ratio_interp,0.8730589559032526
2024-01-09,0.6949238578680202,7.208237547892722,5.009176245210728,temporal_ratio_interp,0.8730589559032526
2024-01-17,0.6588832487309645,7.208237547892722,4.749386973180078,temporal_ratio_interp,0.8730589559032526
2024-01-25,0.6954314720812184,7.208237547892722,5.012835249042148,temporal_ratio_interp,0.8730589559032526
2024-02-02,0.6385786802030459,7.208237547892722,4.603026819923374,temporal_ratio_interp,0.8730589559032526
2024-02-10,0.5421319796954315,7.208237547892722,3.907816091954024,temporal_ratio_interp,0.8730589559032526
2024-02-18,0.5370558375634518,7.208237547892722,3.8712260536398473,temporal_ratio_interp,0.8730589559032526
2024-02-26,0.5152284263959391,7.208237547892722,3.71388888888889,temporal_ratio_interp,0.8730589559032526
2024-03-05,0.5918781725888325,7.208237547892722,4.266398467432951,temporal_ratio_interp,0.8730589559032526
2024-03-13,0.2639593908629442,7.208237547892722,1.9026819923371652,temporal_ratio_interp,0.8730589559032526
2024-03-21,0.5629441624365482,7.208237547892722,4.057835249042147,temporal_ratio_interp,0.8730589559032526
2024-03-29,0.4939086294416244,7.208237547892722,3.56021072796935,temporal_ratio_interp,0.8730589559032526
2024-04-06,0.4111675126903553,7.208237547892722,2.963793103448276,temporal_ratio_interp,0.8730589559032526
2024-04-14,0.4609137055837563,7.208237547892722,3.3223754789272033,temporal_ratio_interp,0.8730589559032526
2024-04-22,0.3314720812182741,7.208237547892722,2.389329501915709,temporal_ratio_interp,0.8730589559032526
2024-04-30,0.3340101522842639,7.208237547892722,2.407624521072797,temporal_ratio_interp,0.8730589559032526
2024-05-08,0.4522842639593908,7.208237547892722,3.2601724137931036,temporal_ratio_interp,0.8730589559032526
2024-05-16,0.3213197969543148,7.208237547892722,2.316149425287357,temporal_ratio_interp,0.8730589559032526
2024-05-24,0.3771573604060914,7.208237547892722,2.7186398467432955,temporal_ratio_interp,0.8730589559032526
2024-06-01,0.3406091370558376,7.208237547892722,2.455191570881227,temporal_ratio_interp,0.8730589559032526
2024-06-09,0.4710659898477157,7.208237547892722,3.395555555555556,temporal_ratio_interp,0.8730589559032526
2024-06-17,0.5705583756345177,7.208237547892722,4.112720306513411,temporal_ratio_interp,0.8730589559032526
2024-06-25,0.5055837563451777,7.208237547892722,3.6443678160919553,temporal_ratio_interp,0.8730589559032526
2024-07-03,0.5406091370558376,7.208237547892722,3.8968390804597712,temporal_ratio_interp,0.8730589559032526
2024-07-11,0.1,7.208237547892722,0.7208237547892722,temporal_ratio_interp,0.8730589559032526
2024-07-19,0.616243654822335,7.208237547892722,4.442030651340997,temporal_ratio_interp,0.8730589559032526
2024-07-27,0.5868020304568529,7.208237547892722,4.229808429118775,temporal_ratio_interp,0.8730589559032526
2024-08-04,0.466497461928934,7.208237547892722,3.3626245210727976,temporal_ratio_interp,0.8730589559032526
2024-08-12,0.6421319796954316,7.208237547892722,4.6286398467432965,temporal_ratio_interp,0.8730589559032526
2024-08-20,0.8451776649746193,7.208237547892722,6.092241379310346,temporal_ratio_interp,0.8730589559032526
2024-08-28,0.7522842639593909,7.208237547892722,5.422643678160921,temporal_ratio_interp,0.8730589559032526
2024-09-05,0.584771573604061,7.208237547892722,4.215172413793105,temporal_ratio_interp,0.8730589559032526
2024-09-13,0.5568527918781725,7.208237547892722,4.013927203065134,temporal_ratio_interp,0.8730589559032526
2024-09-21,0.3766497461928934,7.208237547892722,2.714980842911878,temporal_ratio_interp,0.8730589559032526
2024-09-29,0.6223350253807107,7.208237547892722,4.4859386973180095,temporal_ratio_interp,0.8730589559032526
2024-10-07,0.4984771573604062,7.208237547892722,3.5931417624521087,temporal_ratio_interp,0.8730589559032526
2024-10-15,0.3543147208121827,7.208237547892722,2.553984674329502,temporal_ratio_interp,0.8730589559032526
2024-10-23,0.5817258883248732,7.208237547892722,4.193218390804599,temporal_ratio_interp,0.8730589559032526
2024-10-31,0.365482233502538,7.208237547892722,2.6344827586206896,temporal_ratio_interp,0.8730589559032526
2024-11-08,0.5725888324873096,7.208237547892722,4.127356321839081,temporal_ratio_interp,0.8730589559032526
2024-11-16,0.4949238578680202,7.208237547892722,3.567528735632184,temporal_ratio_interp,0.8730589559032526
2024-11-24,0.5137055837563451,7.208237547892722,3.7029118773946363,temporal_ratio_interp,0.8730589559032526
2024-12-02,0.6543147208121827,7.208237547892722,4.716455938697319,temporal_ratio_interp,0.8730589559032526
2024-12-10,0.5766497461928936,7.208237547892722,4.156628352490423,temporal_ratio_interp,0.8730589559032526
2024-12-18,0.6096446700507614,7.208237547892722,4.394463601532568,temporal_ratio_interp,0.8730589559032526
2024-12-26,0.5517766497461929,7.208237547892722,3.9773371647509586,temporal_ratio_interp,0.8730589559032526
2025-01-01,0.4949238578680202,7.208237547892722,3.567528735632184,temporal_ratio_interp,0.8730589559032526
2025-01-09,0.5395939086294416,7.208237547892722,3.8895210727969354,temporal_ratio_interp,0.8730589559032526
2025-01-17,0.4517766497461928,7.208237547892722,3.256513409961686,temporal_ratio_interp,0.8730589559032526
2025-01-25,0.5614213197969544,7.208237547892722,4.0468582375478945,temporal_ratio_interp,0.8730589559032526
2025-02-02,0.5360406091370559,7.208237547892722,3.8639080459770128,temporal_ratio_interp,0.8730589559032526
2025-02-10,0.4517766497461928,7.208237547892722,3.256513409961686,temporal_ratio_interp,0.8730589559032526
2025-02-18,0.3868020304568528,7.208237547892722,2.7881609195402306,temporal_ratio_interp,0.8730589559032526
2025-02-26,0.4527918781725888,7.208237547892722,3.263831417624522,temporal_ratio_interp,0.8730589559032526
2025-03-06,0.4609137055837563,7.208237547892722,3.3223754789272033,temporal_ratio_interp,0.8730589559032526
2025-03-14,0.3903553299492385,7.208237547892722,2.813773946360153,temporal_ratio_interp,0.8730589559032526
2025-03-22,0.3974619289340101,7.208237547892722,2.865,temporal_ratio_interp,0.8730589559032526
2025-03-30,0.4949238578680202,9.604118773946361,4.753307515024213,temporal_ratio_interp,0.8730589559032526
2025-04-07,0.416751269035533,12.0,5.001015228426396,temporal_ratio_interp,0.8730589559032526
2025-04-15,0.4055837563451777,11.700231481481483,4.745423834367363,temporal_ratio_interp,0.8730589559032526
2025-04-23,0.4385786802030456,11.400462962962965,5.0,temporal_ratio_interp,0.8730589559032526
2025-05-01,0.3598984771573604,11.700231481481483,4.210895492573792,temporal_ratio_interp,0.8730589559032526
2025-05-09,0.2974619289340102,12.0,3.5695431472081225,temporal_ratio_interp,0.8730589559032526
2025-05-17,0.382741116751269,12.0,4.592893401015228,temporal_ratio_interp,0.8730589559032526
2025-05-25,0.3964467005076142,12.0,4.757360406091371,temporal_ratio_interp,0.8730589559032526
2025-06-02,0.3314720812182741,10.613022663610899,3.5179207103238155,temporal_ratio_interp,0.8730589559032526
2025-06-10,0.3395939086294416,9.226045327221797,3.133108793863646,temporal_ratio_interp,0.8730589559032526
2025-06-18,0.4274111675126904,7.839067990832697,3.350505202173163,temporal_ratio_interp,0.8730589559032526
2025-06-26,0.4629441624365483,6.452090654443595,2.986957703986071,temporal_ratio_interp,0.8730589559032526
2025-07-04,0.4852791878172589,5.065113318054494,2.457994077187866,temporal_ratio_interp,0.8730589559032526
2025-07-12,0.6644670050761421,3.6781359816653936,2.444,temporal_ratio_interp,0.8730589559032526
2025-07-20,0.5208121827411168,4.148577787896618,2.1606298529857515,temporal_ratio_interp,0.8730589559032526
2025-07-28,0.8477157360406091,4.619019594127843,3.91561559502208,temporal_ratio_interp,0.8730589559032526
2025-08-05,0.848223350253807,5.089461400359067,4.317,temporal_ratio_interp,0.8730589559032526
2025-08-13,0.8324873096446701,3.9760365853658532,3.31,temporal_ratio_interp,0.8730589559032526
2025-08-21,0.7553299492385788,3.627304006968641,2.7398113514565168,temporal_ratio_interp,0.8730589559032526
2025-08-29,0.6844444444444445,3.2785714285714285,2.244,temporal_ratio_interp,0.8730589559032526
2025-09-06,1.4664974619289337,2.5606210801393727,3.755144314986115,temporal_ratio_interp,0.8730589559032526
2025-09-14,1.2487309644670053,1.842670731707317,2.301,temporal_ratio_interp,0.8730589559032526
2025-09-22,1.0959390862944165,1.842670731707317,2.019454878048781,temporal_ratio_interp,0.8730589559032526
2025-09-30,0.8939086294416244,1.842670731707317,1.647179268292683,temporal_ratio_interp,0.8730589559032526
2025-10-08,0.7583756345177666,1.842670731707317,1.3974365853658537,temporal_ratio_interp,0.8730589559032526
2025-10-16,0.7269035532994923,1.842670731707317,1.3394439024390241,temporal_ratio_interp,0.8730589559032526
2025-10-24,0.7187817258883249,1.842670731707317,1.3244780487804877,temporal_ratio_interp,0.8730589559032526
2025-11-01,0.4380710659898477,1.842670731707317,0.807220731707317,temporal_ratio_interp,0.8730589559032526
2025-11-09,0.4878980891719744,1.842670731707317,0.8990355289731239,temporal_ratio_interp,0.8730589559032526
2025-11-17,0.4086294416243654,1.842670731707317,0.7529695121951218,temporal_ratio_interp,0.8730589559032526
2025-11-25,0.4974619289340101,1.842670731707317,0.9166585365853657,temporal_ratio_interp,0.8730589559032526
2025-12-03,0.4736040609137055,1.842670731707317,0.8726963414634145,temporal_ratio_interp,0.8730589559032526
2025-12-11,0.5279187817258882,1.842670731707317,0.9727804878048778,temporal_ratio_interp,0.8730589559032526
2025-12-19,0.5335025380710661,1.842670731707317,0.9830695121951221,temporal_ratio_interp,0.8730589559032526
2025-12-27,0.4517766497461928,1.842670731707317,0.8324756097560974,temporal_ratio_interp,0.8730589559032526
